Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773836159,50,,Aggregated,0.000000,0.000000,12,22,22,25,25,25,25,25,25,25,25,5,0,12,15.74091779993978,7.934947999729047,24.88695900001403,4463.0
1773836160,50,,Aggregated,0.000000,0.000000,11,14,15,15,20,22,25,25,25,25,25,32,0,11,12.46357774996909,6.943937999949412,24.88695900001403,4463.59375
1773836161,50,,Aggregated,0.000000,0.000000,11,14,15,16,20,22,23,25,25,25,25,55,0,11,12.26720905452484,5.820332999974198,24.88695900001403,4465.0
1773836162,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773836163,50,,Aggregated,0.000000,0.000000,9,11,12,13,23,25,26,26,26,26,26,31,0,9,11.508589161357738,5.669561000104295,26.17357400004039,4545.064516129032
1773836164,50,,Aggregated,0.000000,0.000000,10,11,13,13,22,23,25,26,26,26,26,54,0,10,11.261579074109115,5.669561000104295,26.17357400004039,4445.981481481482
1773836165,50,,Aggregated,0.000000,0.000000,8,8,10,10,10,10,10,10,10,10,10,3,0,8,7.971267666713781,5.770494999978837,10.25497999989966,2887.0
1773836166,50,,Aggregated,0.000000,0.000000,9,10,12,12,13,17,23,23,23,23,23,26,0,8,9.924874615412941,5.770494999978837,23.33273000022018,4285.692307692308
1773836167,50,,Aggregated,0.000000,0.000000,9,11,13,13,20,22,23,23,23,23,23,48,0,9,10.872506625029624,5.770494999978837,23.33273000022018,4498.770833333333
1773836168,50,,Aggregated,0.000000,0.000000,9,9,24,24,24,24,24,24,24,24,24,6,0,8,13.363101333349428,7.0778559997961565,24.432364999938727,5153.5
1773836169,50,,Aggregated,0.000000,0.000000,10,14,16,20,24,29,30,30,30,30,30,34,0,9,13.02305370587847,6.1312879997785785,29.577505999895948,4611.176470588235
